NAME_2,NAME_3,lat,long,elevation,ndvi,slope,landcover_class
bogor,babakanmadang,-6.5917,106.902,501.913,0.564,5.001,9
bogor,bojonggede,-6.4774,106.7927,133.589,0.429,0.293,1
bogor,caringin,-6.7366,106.866,765.651,0.513,4.954,9
bogor,cariu,-6.5273,107.1371,143.845,0.652,2.107,9
bogor,ciampea,-6.5742,106.698,212.619,0.569,1.34,9
bogor,ciawi,-6.7091,106.8937,925.94,0.465,6.501,9
bogor,cibinong,-6.4839,106.8354,134.037,0.429,0.322,1
bogor,cibungbulang,-6.5761,106.661,236.566,0.516,1.249,9
bogor,cigombong,-6.7461,106.8128,688.475,0.576,4.624,9
bogor,cigudeg,-6.4937,106.5461,309.2,0.489,3.666,9
bogor,cijeruk,-6.686,106.7843,717.352,0.568,7.732,9
bogor,cileungsi,-6.4094,106.9962,69.866,0.502,0.251,9
bogor,ciomas,-6.6095,106.762,268.719,0.419,1.946,1
bogor,cisarua,-6.6985,106.9552,1216.752,0.41,7.714,9
bogor,ciseeng,-6.4556,106.6785,99.044,0.588,0.396,9
bogor,citeureup,-6.525,106.8924,229.087,0.563,2.772,9
bogor,dramaga,-6.5888,106.7298,248.285,0.541,1.71,9
bogor,gunungputri,-6.4052,106.9313,81.462,0.354,0.389,1
bogor,gunungsindur,-6.3871,106.6872,72.997,0.418,0.372,9
bogor,jasinga,-6.4806,106.4559,163.412,0.528,1.993,9
bogor,jonggol,-6.4961,107.0456,186.743,0.616,2.153,9
bogor,klapanunggal,-6.483,106.9553,203.856,0.561,3.061,9
bogor,kemang,-6.5025,106.7345,143.048,0.59,0.625,9
bogor,leuwiliang,-6.6402,106.6099,556.464,0.497,3.837,9
bogor,leuwisadeng,-6.5736,106.5877,306.672,0.575,4.096,9
bogor,megamendung,-6.6635,106.9177,877.32,0.479,5.463,9
bogor,nanggung,-6.6725,106.5377,848.241,0.428,5.957,9
bogor,pamijahan,-6.6933,106.6596,827.34,0.475,5.169,9
bogor,parung,-6.4349,106.7128,104.116,0.47,0.338,9
bogor,parungpanjang,-6.3768,106.5551,65.388,0.436,0.569,9
bogor,rancabungur,-6.5217,106.7137,144.929,0.654,0.575,9
bogor,rumpin,-6.4596,106.6311,152.23,0.514,1.981,9
bogor,sukajaya,-6.6313,106.4705,847.126,0.382,5.604,9
bogor,sukamakmur,-6.5936,107.0201,641.209,0.588,5.807,9
bogor,sukaraja,-6.5792,106.8408,276.337,0.523,1.706,9
bogor,tajurhalang,-6.469,106.7596,128.261,0.532,0.34,9
bogor,tamansari,-6.6564,106.7458,715.585,0.486,6.987,9
bogor,tanjungsari,-6.6115,107.1406,362.528,0.659,5.549,9
bogor,tenjo,-6.3723,106.4794,60.385,0.497,0.368,9
bogor,tenjolaya,-6.6537,106.708,736.012,0.503,6.928,9
kota bogor,bogorbarat,-6.5732,106.7655,207.937,0.354,0.658,1
kota bogor,bogorselatan,-6.6447,106.8135,368.391,0.472,1.807,9
kota bogor,bogortengah,-6.5932,106.7986,250.378,0.256,0.88,1
kota bogor,bogortimur,-6.6207,106.8264,322.856,0.358,1.429,1
kota bogor,bogorutara,-6.5708,106.8196,209.387,0.405,0.831,1
kota bogor,tanahsareal,-6.5468,106.7855,184.459,0.369,0.639,1
kota tangerang,batuceper,-6.1618,106.6703,10.341,0.211,0.068,1
kota tangerang,benda,-6.13,106.6657,8.372,0.252,0.098,1
kota tangerang,cibodas,-6.2058,106.608,19.751,0.138,0.128,1
kota tangerang,ciledug,-6.2386,106.7059,21.279,0.24,0.132,1
kota tangerang,cipondoh,-6.1862,106.683,11.897,0.23,0.115,1
kota tangerang,jatiuwung,-6.198,106.5753,20.101,0.159,0.172,1
kota tangerang,karangtengah,-6.2101,106.7097,13.076,0.241,0.156,1
kota tangerang,karawaci,-6.1812,106.618,16.788,0.181,0.102,1
kota tangerang,larangan,-6.2392,106.733,21.351,0.213,0.155,1
kota tangerang,neglasari,-6.1429,106.6302,11.542,0.29,0.072,1
kota tangerang,periuk,-6.1675,106.5943,12.531,0.222,0.129,1
kota tangerang,pinang,-6.2153,106.6662,19.041,0.285,0.132,1
kota tangerang,tangerang,-6.1888,106.6406,17.193,0.194,0.112,1
tangerang selatan,ciputat,-6.3082,106.7277,44.431,0.325,0.212,1
tangerang selatan,ciputattimur,-6.2988,106.7556,41.355,0.256,0.245,1
tangerang selatan,pamulang,-6.3395,106.7391,59.039,0.314,0.233,1
tangerang selatan,pondokaren,-6.2664,106.7114,28.61,0.269,0.18,1
tangerang selatan,serpong,-6.3113,106.6807,42.596,0.34,0.214,1
tangerang selatan,serpongutara,-6.2536,106.663,26.59,0.254,0.18,1
tangerang selatan,setu,-6.3637,107.0373,54.164,0.365,0.359,9
tangerang,balaraja,-6.2048,106.4427,20.277,0.262,0.173,1
tangerang,cikupa,-6.218,106.5159,25.2,0.222,0.147,1
tangerang,cisauk,-6.3391,106.6302,51.37,0.365,0.313,9
tangerang,cisoka,-6.2598,106.4167,26.713,0.33,0.26,9
tangerang,curug,-6.2426,106.5661,30.753,0.187,0.142,1
tangerang,gunungkaler,-6.0957,106.3742,8.194,0.265,0.068,2
tangerang,jambe,-6.3238,106.4992,43.823,0.417,0.302,9
tangerang,jayanti,-6.2068,106.3983,18.626,0.316,0.144,9
tangerang,kelapadua,-6.2426,106.6094,27.206,0.178,0.146,1
tangerang,kemiri,-6.0878,106.4638,5.064,0.286,0.09,2
tangerang,kosambi,-6.0809,106.685,3.034,0.181,0.058,1
tangerang,kresek,-6.1444,106.4044,11.706,0.264,0.093,2
tangerang,kronjo,-6.0703,106.4282,4.048,0.306,0.069,2
tangerang,legok,-6.3048,106.565,43.009,0.352,0.179,9
tangerang,mauk,-6.058,106.5207,3.228,0.222,0.07,2
tangerang,mekarbaru,-6.062,106.3871,4.93,0.217,0.066,2
tangerang,pagedangan,-6.2973,106.6175,39.721,0.292,0.198,9
tangerang,pakuhaji,-6.0602,106.6063,3.922,0.325,0.061,2
tangerang,panongan,-6.2789,106.5262,36.953,0.295,0.192,9
tangerang,pasarkemis,-6.1589,106.5525,14.061,0.211,0.127,1
tangerang,rajeg,-6.1163,106.5103,8.659,0.285,0.105,2
tangerang,sepatan,-6.1183,106.5801,8.849,0.277,0.052,1
tangerang,sepatantimur,-6.1199,106.6084,9.449,0.277,0.066,1
tangerang,sindangjaya,-6.1689,106.4989,17.038,0.267,0.132,9
tangerang,solear,-6.3069,106.4215,39.539,0.368,0.297,9
tangerang,sukadiri,-6.0699,106.559,4.864,0.305,0.063,2
tangerang,sukamulya,-6.1604,106.4362,14.287,0.261,0.136,2
tangerang,teluknaga,-6.0499,106.6582,3.313,0.248,0.071,7
tangerang,tigaraksa,-6.2657,106.4673,29.506,0.373,0.225,9
depok,beji,-6.3731,106.819,78.676,0.372,0.279,1
depok,bojongsari,-6.3943,106.7378,87.016,0.35,0.265,1
depok,cilodong,-6.4303,106.8379,106.017,0.325,0.295,1
depok,cimanggis,-6.3677,106.8694,74.634,0.319,0.278,1
depok,cinere,-6.3315,106.7894,54.274,0.187,0.287,1
depok,cipayung,-6.3253,106.9036,106.638,0.332,0.3,1
depok,limo,-6.3686,106.7808,73.923,0.324,0.284,1
depok,pancoranmas,-6.3984,106.7998,89.403,0.319,0.285,1
depok,sawangan,-6.4067,106.7641,91.287,0.4,0.296,9
depok,sukmajaya,-6.3973,106.8436,88.001,0.269,0.34,1
depok,tapos,-6.4192,106.8805,98.048,0.473,0.278,1
